id,name,artist,valence,energy,danceability,tempo,genres,duration (ms),explicit,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,mood
4fN0dQGDaV4Hg7Gd7mBOE0,Rivers and Roads,The Head And The Heart,0.165,0.198,0.499,131.622,"['folk-pop', 'seattle indie', 'stomp and holler']",284000,False,0,-8.931,1,0.036,0.721,3.72e-05,0.0755,Sad
6ddrqKswARm2Yb0zLJeJDp,Hold On,Lifeguard Duty,0.48,0.523,0.696,135.019,[],201822,False,1,-9.086,0,0.0401,0.144,0.00385,0.106,Sad
5S9Zs5g9lTWnLIboN1pdlU,Fingers Crossed,Lauren Spencer Smith,0.446,0.473,0.603,109.494,"['alt z', 'gen z singer-songwriter', 'singer-songwriter pop']",175345,False,5,-7.23,1,0.0511,0.616,0.0,0.31,Sad
36AWmLYL4tMTfZseHQHoVl,the way that we started (taylor),elijah woods,0.512,0.518,0.627,82.006,['singer-songwriter pop'],204878,True,1,-7.064,1,0.0567,0.362,1.34e-05,0.109,Sad
0MIiqne6YsbsDz4z9MGA2K,ur so pretty,Wasia Project,0.228,0.231,0.322,91.186,[],132000,False,4,-12.919,1,0.0347,0.932,0.00076,0.149,Sad
5AJ4lT1OjU2hrUZ9JpnoTv,Home - Henry Nowhere Remix,Skinny Dippers,0.787,0.565,0.754,128.998,[],255000,False,5,-9.081,0,0.0322,0.673,0.794,0.116,Sad
2GThBgzZoZfz0lx1JjBwfe,Those Eyes,New West,0.243,0.351,0.597,119.948,['toronto indie'],220750,False,4,-8.043,1,0.0281,0.727,3.86e-05,0.319,Sad
72HyixZAVyNR3Ljiuumgyo,what if i took it off for you?,Nemahsis,0.206,0.238,0.385,150.729,[],136707,False,5,-8.255,1,0.0309,0.914,1.59e-05,0.0969,Sad
4v7DCN09hgXkKazefkznDQ,Lonely,Akon,0.623,0.526,0.634,90.087,['dance pop'],235800,True,5,-7.881,0,0.0333,0.339,0.0,0.257,Sad
47hJYBDckFqxQlpmqSj8Wk,Someone You Loved,Valentin,0.0676,0.271,0.623,109.973,[],181091,False,0,-11.946,1,0.0309,0.527,0.000246,0.0909,Sad
